,target,monthly_debt_capacity,var_employment_time_in_months,approved_amount,approved_term,approved_interest_amount,var_net_income,default_request_term,person_gender_FEMALE,person_gender_MALE,credit_history_marital_status_C,credit_history_marital_status_D,credit_history_marital_status_S,credit_history_marital_status_V,var_max_sbs_qual_12m_CPP,var_max_sbs_qual_12m_DEFICIENTE,var_max_sbs_qual_12m_DUDOSO,var_max_sbs_qual_12m_NORMAL,var_max_sbs_qual_12m_PERDIDA,person_degree_type_desc_Carrera Tecnica,person_degree_type_desc_Postgrado,person_degree_type_desc_Primaria,person_degree_type_desc_Secundaria,person_degree_type_desc_Universitaria
291,1,0.08287545849404548,0.5795454545454546,0.08547008547008546,6,0.08683739020233362,0.06362245076433344,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1
292,0,0.16915947824559743,0.8295454545454546,0.042735042735042736,12,0.1750950487261286,0.13901301290796517,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1
293,0,0.07278487425610819,0.39749536178107603,0.0,2,0.00465411003801949,0.12120894112708575,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0
294,0,0.05704848046798479,0.125,0.059829059829059825,6,0.06868854608224446,0.07034893483051738,1,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0
295,0,0.05772532913624113,0.11363636363636365,0.059829059829059825,6,0.11637023117598219,0.040862105152691786,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1
296,0,0.05845216463229285,0.6818181818181819,0.008547008547008544,3,0.014412445920552375,0.07472388382831358,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1
297,0,0.07751335796648182,0.011363636363636364,0.1282051282051282,6,0.11708692042127344,0.0,1,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0
298,0,0.1597970804990577,0.1590909090909091,0.3846153846153846,12,0.6521784731023031,0.15096250043726167,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0
299,1,0.07980059308695682,0.25,0.042735042735042736,3,0.027168640475462136,0.0831730040577885,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0
300,0,0.08528158120495276,0.011363636363636364,0.059829059829059825,3,0.03145129572171482,0.05509497323958443,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1
301,0,0.1481339376785847,0.1477272727272727,0.17094017094017094,6,0.14769042520648518,0.13266869556091931,1,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0
302,1,0.06873188821864509,0.011363636363636364,0.10256410256410257,6,0.0989380763011843,0.0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1
303,1,0.060105782935577785,0.05681818181818182,0.06837606837606837,6,0.12689769698029105,0.04869783468009935,1,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0
304,1,0.0651422935847986,0.045454545454545456,0.08547008547008546,6,0.08683739020233362,0.053105432539266105,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0
