idPrestamo,target,monthly_debt_capacity,var_employment_time_in_months,approved_amount,approved_term,approved_interest_amount,var_net_income,person_gender,credit_history_marital_status,var_max_sbs_qual_12m,person_degree_type_desc,default_request_term,default_request_amount
LIBDISP1077317038,0,360.33,25,"2,000",12,632.87,1264.375,FEMALE,S,NORMAL,Carrera TÃƒÂ©cnica,0,0
LIBDISP4042709951,0,267.84,55,"1,000",6,240.92,1386.875,FEMALE,C,NORMAL,Carrera TÃƒÂ©cnica,1,0
LIBDISP0663612433,1,951.16,3,"6,000",12,"1,598.86",3707.09,MALE,S,NORMAL,Universitaria,0,0
LIBDISP2668332116,1,503.93,66,"1,300",3,102.63,3202.518333,FEMALE,S,NORMAL,Universitaria,0,0
LIBDISP4396546251,1,"1,065.37",49,"3,000",6,429.99,4261.478333,MALE,S,CPP,Universitaria,0,0
LIBDISP9184947436,0,420,4,"1,000",3,84.99,0,MALE,S,NORMAL,Carrera TÃƒÂ©cnica,0,0
LIBDISP8291001952,0,642.69,19,"2,500",6,360.78,3318.52,MALE,S,CPP,Universitaria,1,0
LIBDISP6904267793,1,445.31,3,"1,000",3,84.99,1781.255,MALE,S,NORMAL,Universitaria,1,0
LIBDISP2523745128,0,"1,213.03",12,"3,000",6,429.99,5007.642,MALE,S,NORMAL,Universitaria,1,0
LIBDISP0255926737,0,468.57,61,"1,000",3,91.9,1874.273333,FEMALE,S,NORMAL,Universitaria,1,0
LIBDISP9665927543,0,552.11,36,"1,500",6,221.53,2288.556667,MALE,S,NORMAL,Secundaria,1,0
LIBDISP8877014800,0,495.49,28,"2,500",6,438.19,2567.611667,MALE,S,CPP,Universitaria,1,0
LIBDISP3525173300,0,432.01,30,"2,000",6,375.18,1952.44,MALE,S,NORMAL,Postgrado,1,0
LIBDISP3969724010,1,672.73,79,"2,500",6,360.78,3269.415,MALE,C,NORMAL,Carrera TÃƒÂ©cnica,1,0
LIBDISP4310938131,1,740.79,25,"5,000",12,"1,515.20",5212.265,MALE,C,CPP,Universitaria,0,0
LIBDISP3579151882,0,"1,272.57",76,"4,000",6,457.23,4620.158333,FEMALE,S,NORMAL,Universitaria,1,0
LIBDISP3039692386,0,"1,108.60",7,"5,000",12,"1,515.20",4224.471667,FEMALE,C,CPP,Postgrado,0,0
LIBDISP7498314648,0,276.86,9,"1,300",6,313.2,3267.28,MALE,S,NORMAL,Universitaria,0,0
LIBDISP0384695640,1,457.63,26,"2,300",6,332.13,1830.5,FEMALE,S,NORMAL,Carrera TÃƒÂ©cnica,0,0
LIBDISP0533730378,0,570.77,77,"1,500",6,221.53,2283.085,MALE,S,NORMAL,Carrera TÃƒÂ©cnica,1,0
LIBDISP3265955987,1,640.52,12,"2,500",6,360.78,2662.25,MALE,S,NORMAL,Carrera TÃƒÂ©cnica,0,0
LIBDISP6802852721,0,400.53,26,"2,000",6,290.62,1602.125,MALE,S,NORMAL,Carrera TÃƒÂ©cnica,1,0
LIBDISP2842228297,1,314.42,17,"2,900",12,804.43,1050,MALE,S,NORMAL,Carrera TÃƒÂ©cnica,1,0
LIBDISP1472978942,0,638.78,,"6,000",12,"1,403.78",2143.166667,FEMALE,C,NORMAL,Carrera TÃƒÂ©cnica,0,0
LIBDISP4817688037,0,432.78,77,"2,100",6,304.59,3990.333333,MALE,C,CPP,Carrera TÃƒÂ©cnica,1,0
LIBDISP7740395672,1,392.46,52,"1,900",6,356.42,2717.691667,MALE,C,NORMAL,Carrera TÃƒÂ©cnica,0,0
LIBDISP7568172969,1,525.63,71,"2,000",12,632.87,1758.75,MALE,S,NORMAL,Secundaria,0,0
LIBDISP9529871921,0,399,0,"2,000",6,375.18,0,FEMALE,C,NORMAL,Carrera TÃƒÂ©cnica,1,0
LIBDISP9406304534,0,243.16,39,"1,100",6,265.01,1181.25,FEMALE,S,NORMAL,Carrera TÃƒÂ©cnica,1,0
LIBDISP2898809667,0,"1,443.38",,"8,000",12,"1,797.56",4833.658333,FEMALE,S,NORMAL,Carrera TÃƒÂ©cnica,1,0
LIBDISP8543862571,1,394.57,77,"1,000",3,84.99,2029.825,MALE,S,NORMAL,Secundaria,1,0
LIBDISP7799973229,0,541.46,71,"2,700",6,473.25,2165.835,MALE,C,NORMAL,Universitaria,1,0
LIBDISP7210411741,0,"1,677.43",39,"8,000",12,"2,131.81",5613.645,MALE,S,NORMAL,Universitaria,0,0
LIBDISP0183135940,0,307.39,32,"2,800",12,858.83,1050,MALE,S,NORMAL,Carrera TÃƒÂ©cnica,0,0
